SECTOR_CODE,CD_NUMBER,CD_DATE,INBOUND_TYPE,ITEM_NUMBER,HS_CODE,QUANTITY,UNIT_PRICE,AMOUNT_USD,CURRENCY_CODE
PCS,020320071037041439,08/09/2007 00:00:00,NORMAL IMPORT 0615,SYN1853B,8517629900,801,12.2112,9781.1712,USD
PCS,020320071037041439,08/09/2007 00:00:00,NORMAL IMPORT 0615,SYN1855B,8517629900,600,13.824,8294.4,USD
PCS,020320071037041439,08/09/2007 00:00:00,NORMAL IMPORT 0615,SYN1374C,8517629900,1080,9.9958,10795.464,USD
PCS,020320071037041420,08/08/2007 00:00:00,NORMAL IMPORT 0615,SYN1764A,8517629900,400,11.448,4579.2,USD
PCS,020320071037041374,08/08/2007 00:00:00,NORMAL IMPORT 0615,SYN1711A,8517629900,1170,32.9978,38607.426,USD
PCS,020820071087136122,08/14/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,450,9.43,4243.5,USD
PCS,010120071017166025,08/11/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,81000,3.6294,293981.4,USD
PCS,010120071017163350,08/13/2007 00:00:00,NORMAL IMPORT 0615,SYN1854B,8517629900,4000,13.6366,54546.4,USD
PCS,020820071087136433,08/19/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,90,9.23,830.7,USD
PCS,020320071037041514,08/13/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,100,16.33,1633,USD
PCS,020320071037041532,08/13/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,672,26.33,17693.76,USD
PCS,020320071037041362,08/08/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,100,16.33,1633,USD
PCS,020820071087140569,08/28/2007 00:00:00,NORMAL IMPORT 0615,SYN2007C,8517629900,90,9.28,835.2,USD
PCS,020820071087140616,08/28/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,360,9.23,3322.8,USD
PCS,020820071087140616,08/28/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,350,9.23,3230.5,USD
PCS,020820071087140318,08/30/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,4480,9.23,41350.4,USD
PCS,020320071037041742,08/27/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,3000,3.6294,10888.2,USD
PCS,020320071037041674,08/22/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,63000,3.6294,228652.2,USD
PCS,020820071087133229,09/04/2007 00:00:00,NORMAL IMPORT 0615,SYN2008C,8517629900,20,9.38,187.6,USD
PCS,020820071087133230,09/04/2007 00:00:00,NORMAL IMPORT 0615,SYN2008C,8517629900,400,9.38,3752,USD
PCS,020820071087133022,09/04/2007 00:00:00,NORMAL IMPORT 0615,SYN2007C,8517629900,90,9.28,835.2,USD
PCS,020820071087144339,09/10/2007 00:00:00,NORMAL IMPORT 0615,SYN2168A,8517629900,1040,17.83,18543.2,USD
PCS,020820071087144339,09/10/2007 00:00:00,NORMAL IMPORT 0615,SYN2168A,8517629900,2640,17.83,47071.2,USD
PCS,010120071017177664,09/06/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,15000,3.6294,54441,USD
PCS,020820071087143902,09/16/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,600,9.43,5658,USD
PCS,020320071037042021,09/07/2007 00:00:00,NORMAL IMPORT 0615,SYN1374C,8517629900,900,11.316,10184.4,USD
PCS,020320071037042021,09/07/2007 00:00:00,NORMAL IMPORT 0615,SYN1855B,8517629900,900,13.824,12441.6,USD
PCS,020320071037042026,09/07/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,672,26.33,17693.76,USD
PCS,020820071087143548,09/18/2007 00:00:00,NORMAL IMPORT 0615,SYN1822B,8517629900,600,11.21,6726,USD
PCS,020820071087134349,09/18/2007 00:00:00,NORMAL IMPORT 0615,SYN2168A,8517629900,320,17.83,5705.6,USD
PCS,020820071087134326,09/18/2007 00:00:00,NORMAL IMPORT 0615,SYN1902A,8517629900,200,27.62,5524,USD
PCS,010120071017179299,09/11/2007 00:00:00,NORMAL IMPORT 0615,SYN1711A,8517629900,480,37.356,17930.88,USD
PCS,010120071017186584,09/12/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,21000,3.6294,76217.4,USD
PCS,010120071017179839,09/12/2007 00:00:00,NORMAL IMPORT 0615,SYN1902A,8517629900,5000,28.6419,143209.5,USD
PCS,010120071017186586,09/12/2007 00:00:00,NORMAL IMPORT 0615,SYN2168A,8517629900,2520,21.396,53917.92,USD
PCS,020820071087149144,09/26/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,180,9.23,1661.4,USD
PCS,020820071087149144,09/26/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,1980,9.23,18275.4,USD
PCS,020820071087149144,09/26/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,1350,9.23,12460.5,USD
PCS,020320071037042442,09/30/2007 00:00:00,NORMAL IMPORT 0615,SYN1976A,8517629900,2016,18.8988,38099.9808,USD
PCS,020820071087148953,10/07/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,3970,9.23,36643.1,USD
PCS,020820071087149013,10/07/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,990,9.23,9137.7,USD
PCS,010120071017190205,09/19/2007 00:00:00,NORMAL IMPORT 0615,SYN2168A,8517629900,2040,21.396,43647.84,USD
PCS,010120071017199506,09/26/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,30000,3.6294,108882,USD
PCS,010120071017202265,10/03/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,24000,3.9333,94399.2,USD
PCS,020820071087150572,10/14/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,360,9.43,3394.8,USD
PCS,020820071087150904,10/14/2007 00:00:00,NORMAL IMPORT 0615,SYN2007C,8517629900,100,9.28,928,USD
PCS,010120071017216089,10/12/2007 00:00:00,NORMAL IMPORT 0615,SYN1509C,8517629900,400,19.596,7838.4,USD
PCS,020820071087135470,10/22/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,60,9.43,565.8,USD
